Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent
0,16.127,87.139,34.8891,27.6575,4.0867
10,21.5878,87.0543,34.9099,27.6564,4.0425
20,17.3193,86.9491,34.8647,27.6266,4.0546
30,16.8287,86.9454,34.8863,27.6489,4.062
40,18.6518,86.9495,34.8549,27.6149,4.039
50,20.0232,86.9985,34.8867,27.65,3.9689
60,17.8671,86.9249,34.889,27.6531,5.2915
70,18.7084,86.8819,34.8866,27.651,5.2921
80,15.2847,86.8517,34.8866,27.6503,5.2916
90,15.2387,86.6682,34.827,27.5973,5.2762
100,18.1877,86.6975,34.8794,27.6373,5.2466
110,15.667,86.6148,34.8755,27.6348,5.2829
120,15.126,86.7406,34.9166,27.6802,3.9047
130,16.8386,86.7119,34.9098,27.6728,3.8777
140,14.6861,86.7654,34.9198,27.6832,3.8751
150,14.8715,86.7052,34.9014,27.6659,3.8754
160,15.558,86.7107,34.9078,27.6712,3.8742
170,15.0747,86.6444,34.9119,27.6732,3.8745
180,15.5944,86.6524,34.9216,27.6805,3.5278
190,17.0,86.6907,34.9203,27.6746,3.524
200,16.5365,86.7073,34.9028,27.661,3.5056
210,14.772,86.6544,34.921,27.678,3.5056
220,14.1153,86.5835,34.9078,27.667,3.5075
230,16.7249,86.6324,34.9052,27.6645,3.5068
240,15.7115,86.6215,34.9016,27.6635,3.5056
250,17.6582,86.704,34.9036,27.662,3.5046
260,15.7314,86.7134,34.905,27.6639,3.5063
270,15.7258,86.8074,34.9061,27.6657,3.5106
280,16.3927,86.7604,34.9057,27.6645,3.5086
290,16.0787,86.7834,34.9058,27.6645,3.5086
300,18.4661,86.8581,34.9129,27.6729,4.193
310,21.0539,86.8355,34.9185,27.6751,4.189
320,16.3089,86.7744,34.9016,27.662,4.188
330,16.3749,86.816,34.9017,27.6622,4.188
340,17.942,86.9661,34.9072,27.66,4.1626
350,18.3211,87.3211,34.9507,27.7022,4.2063
360,23.2926,87.9708,34.9697,27.726,4.0303
370,26.6689,88.5433,34.9536,27.7032,4.0494
380,27.642,89.1287,34.951,27.7193,4.0475
390,28.4965,89.6424,34.9484,27.7052,4.0263
400,27.4959,90.067,34.9552,27.7157,4.0376
410,27.5063,90.5089,34.9585,27.7177,4.0334
420,31.302,90.8725,34.9587,27.7178,4.7653
430,34.1001,91.0427,34.9573,27.7174,4.7598
440,33.1395,91.0487,34.9543,27.7156,4.7712
450,33.3164,91.1736,34.9772,27.7213,4.7629
460,32.9959,91.2843,34.966,27.7201,4.7731
470,32.5851,91.4518,34.9711,27.697,4.7674
480,32.4177,91.5566,34.9924,27.7138,4.9671
490,34.6942,91.6212,34.9824,27.7029,4.968
500,32.4938,91.5682,34.9789,27.6995,4.9696
510,33.5835,91.7251,34.9595,27.6836,4.9658
520,30.0798,91.1915,34.9501,27.6743,4.9643
530,31.08,90.7299,34.9273,27.6576,5.0161
540,28.9023,90.1985,34.9333,27.6598,5.6262
550,29.7735,89.8141,34.9358,27.6643,5.6508
560,28.4677,89.6601,34.9329,27.6613,5.6576
570,28.6308,89.7344,34.9274,27.6554,5.6544
580,29.1243,89.6472,34.9303,27.6587,5.6548
590,29.3637,89.7088,34.9368,27.6623,5.6544
600,30.8225,89.9884,34.9301,27.6583,5.9925
610,34.4424,89.7725,34.9277,27.6556,5.995
620,31.084,89.7882,34.9104,27.6425,5.992
630,31.1237,89.8029,34.9098,27.6402,5.9899
640,31.1271,89.6397,34.9137,27.6449,5.9894
650,31.6828,89.2599,34.9107,27.6411,5.9884
660,31.4153,89.1991,34.9157,27.6454,6.1104
670,32.4983,88.9955,34.9344,27.6584,6.1136
680,29.1925,88.4129,34.941,27.6637,6.1109
690,27.4648,88.0474,34.9379,27.6599,6.0904
700,29.146,87.977,34.9467,27.6675,6.117
710,29.4737,87.9754,34.9704,27.6914,6.1309
720,26.7382,87.6913,34.8514,27.5704,4.9145
730,27.445,87.709,34.8153,27.525,4.9584
740,27.4285,88.0156,34.8575,27.5667,4.9443
750,27.6249,88.1703,34.8657,27.5748,4.9448
760,26.6172,88.0936,34.8793,27.5866,4.9422
770,27.6101,87.9925,34.8922,27.6287,4.9664
780,26.7048,87.7497,34.8864,27.6224,4.5791
790,28.427,87.8166,34.8804,27.6184,4.5736
800,26.4125,87.8623,34.8885,27.6226,4.5752
810,26.3581,87.7789,34.8928,27.6257,4.583
820,27.1952,87.9659,34.8946,27.6278,4.5744
830,27.1045,87.9371,34.8947,27.6279,4.5744
