Time,mean_cpu_usage_rate,canonical_memory_usage,assigned_memory_usage,total_page_cache_memory_usage,maximum_memory_usage,mean_disk_io_time,mean_local_disk_space_used,maximum_cpu_usage,sampled_cpu_usage
10,0.176242112,0.217144468,0.273859785,0.068925276,0.224094786,0.01693367,0.001136809,0.730918419,0.097728504
15,0.138201319,0.154753135,0.195099477,0.04765937,0.160172974,0.013644297,0.000802225,0.552451373,0.08235668
20,0.139489532,0.157792124,0.198952932,0.048713661,0.163114812,0.013616341,0.000820123,0.55333743,0.082896297
25,0.160044333,0.142230222,0.179423148,0.043322751,0.148198991,0.016266911,0.000727016,0.601841861,0.108727487
30,0.154683966,0.149448906,0.188867364,0.046410577,0.154202553,0.015280229,0.000779741,0.571889568,0.098590306
35,0.155829127,0.15821615,0.199950692,0.049143071,0.162947712,0.018509668,0.000831658,0.585748269,0.094273604
40,0.1622711,0.140364595,0.175894304,0.041804716,0.148558972,0.021650046,0.000716014,0.657545442,0.113664471
45,0.128944757,0.144600486,0.182120927,0.044101753,0.152203279,0.022387953,0.000738407,0.559983718,0.076122483
50,0.128908246,0.152161168,0.190321229,0.047494284,0.157604948,0.020371148,0.000759768,0.547144866,0.075029399
55,0.143414052,0.15971073,0.19931021,0.049915096,0.16452898,0.020022413,0.000797995,0.552237861,0.086032979
60,0.16264442,0.167109138,0.208349991,0.051775097,0.172907455,0.028080099,0.000827129,0.601812499,0.098636009
65,0.170668659,0.184565308,0.229747173,0.057067267,0.190024418,0.030009445,0.000911244,0.64891782,0.10099497
70,0.138682938,0.164138434,0.204698502,0.051293098,0.168976661,0.022336123,0.000819489,0.562342849,0.076987368
75,0.150867085,0.167055519,0.207919609,0.051580498,0.172684178,0.021852001,0.00081973,0.61220666,0.092739144
80,0.135964408,0.171852829,0.214629454,0.053681349,0.176530444,0.018826444,0.000867092,0.557176301,0.076141079
85,0.128981121,0.15435918,0.193660398,0.047115061,0.160064631,0.022895545,0.000791883,0.628651712,0.074455245
90,0.114941235,0.151349664,0.190687122,0.047100758,0.155384652,0.020068956,0.000804135,0.494265757,0.060498864
95,0.128718671,0.170531497,0.215270576,0.053315273,0.175179351,0.022183891,0.000909653,0.554774754,0.069658871
100,0.139813277,0.172112999,0.216722697,0.053511255,0.177145918,0.021140533,0.000913064,0.586832525,0.081732443
105,0.12495392,0.163680569,0.206215188,0.051162778,0.168050997,0.019528723,0.000869259,0.564300782,0.069316688
110,0.129314436,0.164745894,0.207493198,0.05100263,0.169102144,0.020207255,0.000872767,0.55240441,0.069733578
115,0.147000786,0.169610873,0.212851889,0.051787498,0.175240333,0.024585308,0.000883888,0.589852381,0.084644524
120,0.149989266,0.180771804,0.226667266,0.055285407,0.18586718,0.026444417,0.00094247,0.605931002,0.082259864
125,0.144521666,0.17775643,0.22284186,0.054388295,0.182937958,0.024817663,0.000926198,0.60374565,0.078785293
130,0.149094892,0.173779524,0.217846535,0.053819084,0.179213964,0.026000075,0.000908007,0.588399992,0.08498038
135,0.15000793,0.176141689,0.220942309,0.055072505,0.181549037,0.02044046,0.000922589,0.606205446,0.087325873
140,0.140540282,0.15590594,0.195650156,0.048273245,0.161354418,0.015623183,0.00080648,0.547542567,0.085125236
145,0.137020175,0.163353274,0.205325841,0.051088484,0.168444789,0.012770835,0.000847045,0.544204314,0.080452664
150,0.129482919,0.155427587,0.195437882,0.04893651,0.160105547,0.013239412,0.000801606,0.52210797,0.074813111
155,0.136117866,0.169377507,0.213211813,0.053058584,0.174185255,0.012461977,0.000882369,0.567362518,0.075964522
160,0.145331056,0.180375557,0.226983646,0.056558189,0.185705518,0.013764942,0.000935533,0.589153702,0.080871046
165,0.139232198,0.179765785,0.226030539,0.056478918,0.185264653,0.017162986,0.000928387,0.598445536,0.073169811
170,0.134339948,0.175586285,0.221104344,0.055037516,0.181203087,0.016452355,0.000907762,0.569470615,0.070780807
175,0.135522901,0.166195785,0.208889533,0.051677832,0.172102296,0.022668733,0.000852171,0.566255027,0.066357696
180,0.14908293,0.173170597,0.216697268,0.052678481,0.179471954,0.017433783,0.000870942,0.592351612,0.077141253
185,0.147841851,0.186117445,0.23280096,0.05638599,0.192274985,0.019663351,0.000939434,0.635602704,0.071073022
190,0.148727685,0.18439162,0.230583175,0.056305397,0.190016752,0.02127767,0.000941447,0.597515118,0.07099052
195,0.150672703,0.18497252,0.231167684,0.056647042,0.190450405,0.022690298,0.000946313,0.605896266,0.073455579
200,0.148108181,0.181958489,0.227858259,0.055539127,0.187265503,0.02869707,0.00094057,0.638975752,0.069684691
205,0.143828473,0.176842004,0.221821186,0.054389846,0.181891259,0.037394038,0.000923819,0.634992116,0.06550993
210,0.122936417,0.14552464,0.184895171,0.046209168,0.153023592,0.033754098,0.000790788,0.517829934,0.065109968
215,0.136460011,0.166323895,0.209950315,0.050567341,0.171859762,0.030577515,0.000849421,0.544696736,0.070414232
220,0.141013004,0.176148217,0.222661249,0.053860636,0.181419147,0.030583154,0.000903242,0.589739547,0.073290787
225,0.126396747,0.158739696,0.200857305,0.048587842,0.164051508,0.030014801,0.000812538,0.543878369,0.066394705
230,0.128875811,0.158424481,0.200353946,0.047968505,0.163494706,0.021440936,0.000814399,0.583745114,0.068824034
235,0.133981718,0.167551221,0.211500558,0.050193158,0.173565103,0.01912895,0.000855023,0.592082269,0.071350062
240,0.127059876,0.155275861,0.196049065,0.046335905,0.161514626,0.020545082,0.000787899,0.543660116,0.071422845
245,0.121554849,0.156414997,0.197350741,0.046535918,0.161586069,0.013641522,0.000789594,0.5063375,0.06555711
250,0.128151441,0.162491287,0.204675869,0.048126642,0.167560192,0.022907385,0.000813234,0.528166099,0.065527967
255,0.140597539,0.181172588,0.228240683,0.05402989,0.186836844,0.020744539,0.00090871,0.595723862,0.071220396
260,0.117096124,0.156201322,0.196829201,0.046797314,0.161201597,0.0125236,0.000784479,0.517145876,0.060745423
265,0.121585572,0.153189167,0.192793351,0.045382275,0.1581942,0.016896376,0.000767296,0.529438995,0.06492664
270,0.127132974,0.161480935,0.202936848,0.047457592,0.166667798,0.016071538,0.000805406,0.54655478,0.067852218
275,0.12650849,0.155775166,0.196118866,0.045783081,0.160643328,0.017410727,0.000767219,0.516940511,0.069101957
280,0.137787527,0.178026078,0.224261578,0.05281964,0.183456501,0.016770607,0.000886053,0.572255178,0.074034707
285,0.12615381,0.168612962,0.212267737,0.050067072,0.17378487,0.014604021,0.00084208,0.526255996,0.06540471
290,0.127108594,0.176586882,0.222530038,0.052066843,0.182128087,0.012834697,0.000878926,0.5343668,0.067027957
295,0.128533629,0.17513749,0.22061697,0.051671478,0.180400102,0.016853002,0.000874353,0.529520298,0.069380862
300,0.14396315,0.194924519,0.245462295,0.057653224,0.200539485,0.015723793,0.00097971,0.595132604,0.076093936
305,0.128317532,0.16929269,0.213078201,0.049915438,0.174651845,0.014608351,0.000845925,0.531643268,0.068179743
310,0.142318528,0.190591358,0.239915286,0.056265045,0.196670503,0.017821038,0.000956054,0.58936332,0.073737489
315,0.135565939,0.183450814,0.23079137,0.054020487,0.18949693,0.020796748,0.00091511,0.563619062,0.06873532
