Time,cpu_util_percent,mem_util_percent,mem_gps,mpki,net_in,net_out,disk_usage_percent
386640,41,92,0.0,0.0,43.04,33.08,5
386670,43,92,0.0,0.0,43.04,33.08,5
386690,44,92,0.0,0.0,43.05,33.08,5
386800,46,92,0.0,0.0,43.05,33.08,3
386930,44,93,0.0,0.0,43.05,33.09,4
387000,41,93,0.0,0.0,43.05,33.09,4
387090,46,93,0.0,0.0,43.05,33.09,3
387170,47,93,0.0,0.0,43.05,33.09,4
387180,46,93,0.0,0.0,43.05,33.09,3
387200,46,93,0.0,0.0,43.05,33.09,3
387530,46,93,0.0,0.0,43.06,33.1,5
387610,73,97,0.0,0.0,43.06,33.1,7
387690,75,97,0.0,0.0,43.06,33.1,5
387840,68,96,0.0,0.0,43.07,33.1,3
387900,71,96,0.0,0.0,43.07,33.1,5
387950,68,96,0.0,0.0,43.07,33.1,5
387990,66,96,0.0,0.0,43.07,33.1,4
388050,55,96,0.0,0.0,43.07,33.11,2
388160,52,97,0.0,0.0,43.07,33.11,5
388170,53,96,0.0,0.0,43.07,33.11,5
388260,41,83,0.0,0.0,43.07,33.11,3
388330,37,83,0.0,0.0,43.08,33.11,4
388340,36,83,0.0,0.0,43.08,33.11,4
388500,35,83,0.0,0.0,43.08,33.11,6
388620,35,84,0.0,0.0,43.08,33.12,3
388650,32,83,0.0,0.0,43.08,33.12,3
388730,37,83,0.0,0.0,43.08,33.12,3
388770,34,83,0.0,0.0,43.08,33.12,2
388780,30,83,0.0,0.0,43.08,33.12,2
388790,31,83,0.0,0.0,43.08,33.12,2
388870,38,85,0.0,0.0,43.08,33.12,4
388900,35,84,0.0,0.0,43.09,33.12,4
389010,47,86,0.0,0.0,43.09,33.12,4
389100,49,88,0.0,0.0,43.09,33.12,8
389120,46,86,0.0,0.0,43.09,33.12,8
389190,40,87,0.0,0.0,43.09,33.13,8
389240,36,87,0.0,0.0,43.09,33.13,5
389430,41,88,0.0,0.0,43.1,33.13,4
389520,46,87,0.0,0.0,43.1,33.13,3
389530,46,88,0.0,0.0,43.1,33.13,3
389640,48,86,0.0,0.0,43.1,33.13,7
389710,57,87,0.0,0.0,43.11,33.13,6
389800,47,86,0.0,0.0,43.11,33.14,6
389890,47,86,0.0,0.0,43.11,33.14,2
390040,36,86,0.0,0.0,43.12,33.14,11
390380,62,87,0.0,0.0,43.12,33.15,4
390410,43,86,0.0,0.0,43.12,33.15,4
390460,35,86,0.0,0.0,43.12,33.15,4
390470,30,86,0.0,0.0,43.13,33.15,4
390580,27,85,0.0,0.0,43.13,33.15,3
390750,34,85,0.0,0.0,43.13,33.16,5
390900,40,86,0.0,0.0,43.13,33.16,4
391040,39,86,0.0,0.0,43.14,33.16,5
391090,39,86,0.0,0.0,43.14,33.16,3
391150,35,85,0.0,0.0,43.14,33.17,3
391280,41,86,0.0,0.0,43.14,33.17,3
391390,40,88,0.0,0.0,43.14,33.17,3
391400,43,88,0.0,0.0,43.14,33.17,3
391440,51,89,0.0,0.0,43.14,33.17,7
391450,53,88,0.0,0.0,43.14,33.17,7
391810,41,87,0.0,0.0,43.15,33.18,3
391880,36,84,0.0,0.0,43.15,33.18,4
391900,40,85,0.0,0.0,43.15,33.18,4
392000,68,87,0.0,0.0,43.16,33.18,2
392020,85,88,0.0,0.0,43.16,33.18,2
392180,53,91,0.0,0.0,43.16,33.18,2
392190,49,89,0.0,0.0,43.16,33.18,2
392210,29,84,0.0,0.0,43.16,33.18,2
392420,41,87,0.0,0.0,43.17,33.19,3
392460,49,87,0.0,0.0,43.18,33.19,4
392550,31,87,0.0,0.0,43.19,33.19,3
392600,61,87,0.0,0.0,43.19,33.19,2
392690,42,88,0.0,0.0,43.2,33.19,4
392800,43,86,0.0,0.0,43.2,33.19,8
392830,51,86,0.0,0.0,43.2,33.19,4
392940,49,87,0.0,0.0,43.2,33.2,5
393060,48,86,0.0,0.0,43.21,33.2,3
393140,61,90,0.0,0.0,43.21,33.2,18
393260,50,91,0.0,0.0,43.21,33.2,10
393350,52,92,0.0,0.0,43.21,33.21,4
393400,59,91,0.0,0.0,43.22,33.21,5
393420,51,90,0.0,0.0,43.22,33.21,8
393530,50,89,0.0,0.0,43.22,33.21,4
393680,59,92,0.0,0.0,43.22,33.21,7
393790,59,92,0.0,0.0,43.22,33.21,6
393840,56,93,0.0,0.0,43.23,33.22,6
393880,58,92,0.0,0.0,43.23,33.22,6
393970,54,92,0.0,0.0,43.23,33.22,5
394010,39,91,0.0,0.0,43.23,33.22,5
394090,49,92,0.0,0.0,43.24,33.22,5
394110,44,92,0.0,0.0,43.24,33.22,5
394130,60,92,0.0,0.0,43.24,33.22,5
394230,41,89,0.0,0.0,43.24,33.22,5
394340,60,93,0.0,0.0,43.24,33.22,16
394690,36,89,0.0,0.0,43.25,33.23,19
394720,42,89,0.0,0.0,43.26,33.23,19
394760,47,90,0.0,0.0,43.26,33.23,9
394900,47,90,0.0,0.0,43.26,33.24,11
395150,44,90,0.0,0.0,43.27,33.24,16
395210,38,90,0.0,0.0,43.27,33.24,10
395290,43,90,0.0,0.0,43.27,33.24,11
395330,44,91,0.0,0.0,43.27,33.24,11
395350,52,92,0.0,0.0,43.27,33.24,9
395680,46,93,0.0,0.0,43.28,33.25,8
395710,47,93,0.0,0.0,43.28,33.25,9
395780,47,94,0.0,0.0,43.28,33.25,6
395790,44,93,0.0,0.0,43.28,33.25,6
395860,39,93,0.0,0.0,43.29,33.25,7
395890,43,94,0.0,0.0,43.29,33.26,7
395980,42,95,0.0,0.0,43.29,33.26,5
396160,55,95,0.0,0.0,43.29,33.26,14
396190,46,93,0.0,0.0,43.3,33.26,27
396250,55,96,0.0,0.0,43.3,33.26,4
396280,43,96,0.0,0.0,43.3,33.26,4
396290,38,96,0.0,0.0,43.3,33.26,4
396380,43,94,0.0,0.0,43.31,33.27,5
396520,48,95,0.0,0.0,43.31,33.27,8
396630,57,96,0.0,0.0,43.31,33.27,5
396650,55,97,0.0,0.0,43.31,33.27,5
396850,48,91,0.0,0.0,43.32,33.27,10
396860,48,91,0.0,0.0,43.32,33.27,10
396900,41,91,0.0,0.0,43.32,33.28,8
397110,52,94,0.0,0.0,43.33,33.28,9
397260,39,91,0.0,0.0,43.33,33.28,6
397280,39,91,0.0,0.0,43.33,33.28,6
397520,45,91,0.0,0.0,43.34,33.29,8
397570,45,90,0.0,0.0,43.34,33.29,8
397630,61,92,0.0,0.0,43.34,33.29,6
397670,61,92,0.0,0.0,43.34,33.29,6
397790,67,94,0.0,0.0,43.35,33.3,7
397870,56,93,0.0,0.0,43.35,33.3,8
398040,42,92,0.0,0.0,43.36,33.3,3
398060,60,93,0.0,0.0,43.36,33.3,3
398150,50,92,0.0,0.0,43.36,33.3,5
398160,46,93,0.0,0.0,43.36,33.3,4
398220,44,92,0.0,0.0,43.36,33.31,5
398230,43,92,0.0,0.0,43.36,33.31,5
398380,48,92,0.0,0.0,43.36,33.31,4
398400,40,92,0.0,0.0,43.36,33.31,6
398550,52,94,0.0,0.0,43.37,33.31,19
398570,37,92,0.0,0.0,43.37,33.31,19
398710,41,92,0.0,0.0,43.38,33.31,7
398750,45,92,0.0,0.0,43.38,33.32,7
398920,33,93,0.0,0.0,43.38,33.32,6
398980,34,92,0.0,0.0,43.38,33.32,6
399110,38,95,0.0,0.0,43.39,33.32,7
399320,44,97,0.0,0.0,43.39,33.32,5
399460,37,95,0.0,0.0,43.4,33.33,4
399590,28,93,0.0,0.0,43.4,33.33,6
399630,42,93,0.0,0.0,43.41,33.33,6
399920,48,93,0.0,0.0,43.41,33.33,7
400010,35,91,0.0,0.0,43.41,33.34,5
400090,34,92,0.0,0.0,43.42,33.34,11
400210,31,92,0.0,0.0,43.42,33.34,2
400250,36,93,0.0,0.0,43.42,33.34,2
400500,34,94,0.0,0.0,43.42,33.34,3
400520,41,95,0.0,0.0,43.42,33.34,3
400630,50,97,0.0,0.0,43.43,33.35,4
400670,36,94,0.0,0.0,43.43,33.35,4
400720,35,93,0.0,0.0,43.43,33.35,5
400780,35,93,0.0,0.0,43.43,33.35,5
400820,33,94,0.0,0.0,43.43,33.35,6
400830,33,93,0.0,0.0,43.43,33.35,6
400990,35,93,0.0,0.0,43.44,33.35,6
401010,27,92,0.0,0.0,43.44,33.35,6
401080,31,91,0.0,0.0,43.44,33.35,4
401120,34,92,0.0,0.0,43.44,33.35,4
401250,37,92,0.0,0.0,43.45,33.35,6
401470,39,93,0.0,0.0,43.45,33.36,3
401550,32,92,0.0,0.0,43.45,33.36,6
401680,36,93,0.0,0.0,43.46,33.36,5
401910,32,94,0.0,0.0,43.46,33.37,4
401960,37,96,0.0,0.0,43.46,33.37,5
402040,35,95,0.0,0.0,43.47,33.37,5
402080,34,94,0.0,0.0,43.47,33.37,6
402160,37,95,0.0,0.0,43.47,33.37,5
402170,33,95,0.0,0.0,43.47,33.37,5
402180,31,96,0.0,0.0,43.47,33.37,5
402200,29,95,0.0,0.0,43.47,33.37,5
402250,39,95,0.0,0.0,43.47,33.37,4
402260,35,94,0.0,0.0,43.47,33.37,4
402330,36,94,0.0,0.0,43.47,33.37,13
402390,40,96,0.0,0.0,43.47,33.37,7
402510,40,97,0.0,0.0,43.48,33.38,12
402590,34,95,0.0,0.0,43.48,33.38,5
402860,33,94,0.0,0.0,43.49,33.38,5
402900,27,94,0.0,0.0,43.49,33.38,3
402940,23,93,0.0,0.0,43.49,33.38,3
402950,23,93,0.0,0.0,43.49,33.38,3
403130,28,93,0.0,0.0,43.49,33.38,4
403260,31,93,0.0,0.0,43.49,33.39,3
403390,33,95,0.0,0.0,43.5,33.39,5
403490,31,96,0.0,0.0,43.5,33.39,4
403500,31,96,0.0,0.0,43.5,33.39,3
403860,23,94,0.0,0.0,43.51,33.4,3
403870,26,94,0.0,0.0,43.51,33.4,3
404000,31,96,0.0,0.0,43.51,33.4,4
404090,26,94,0.0,0.0,43.51,33.4,3
404110,40,95,0.0,0.0,43.51,33.4,2
404150,37,97,0.0,0.0,43.51,33.4,2
404270,37,96,0.0,0.0,43.51,33.4,4
404280,32,95,0.0,0.0,43.51,33.4,3
404290,30,95,0.0,0.0,43.51,33.4,3
404390,27,96,0.0,0.0,43.52,33.4,2
404400,28,96,0.0,0.0,43.52,33.4,2
404540,27,96,0.0,0.0,43.52,33.41,4
404570,25,95,0.0,0.0,43.52,33.41,4
404670,31,96,0.0,0.0,43.52,33.41,5
404860,26,95,0.0,0.0,43.53,33.41,4
404900,22,96,0.0,0.0,43.53,33.41,3
405110,28,96,0.0,0.0,43.53,33.42,5
405130,29,96,0.0,0.0,43.53,33.42,5
405150,27,96,0.0,0.0,43.53,33.42,5
405200,23,96,0.0,0.0,43.53,33.42,5
405390,35,95,0.0,0.0,43.54,33.42,6
405470,23,95,0.0,0.0,43.54,33.42,4
405490,23,95,0.0,0.0,43.54,33.42,3
