Time,cpu_util_percent,mem_util_percent,mem_gps,mpki,net_in,net_out,disk_usage_percent
0,12.0,89.0,0.0,0.0,35.87,26.49,31.0
130,13.5,88.5,0.0,0.0,36.795,28.63,2.5
140,5.0,91.0,0.0,0.0,22.79,18.12,1.0
160,13.0,84.0,0.0,0.0,40.51,30.09,3.0
180,5.0,91.0,0.0,0.0,22.79,18.12,1.0
250,6.0,91.0,0.0,0.0,22.79,18.12,1.0
330,14.0,89.0,0.0,0.0,37.72,30.77,3.0
340,18.0,85.0,0.0,0.0,40.51,30.09,4.0
390,27.0,90.0,0.0,0.0,35.87,26.49,2.0
410,26.0,94.0,0.0,0.0,37.72,30.77,3.0
420,29.0,95.0,0.0,0.0,37.72,30.77,3.0
430,5.0,91.0,0.0,0.0,22.79,18.12,1.0
450,36.5,90.0,0.0,0.0,38.195,28.295,2.5
460,38.0,89.0,0.0,0.0,40.51,30.09,3.0
500,5.0,91.0,0.0,0.0,22.79,18.12,1.0
520,34.0,90.0,0.0,0.0,40.51,30.09,3.0
570,30.0,92.0,0.0,0.0,37.72,30.77,6.0
580,24.0,90.0,0.0,0.0,35.88,26.5,4.0
590,14.5,91.0,0.0,0.0,29.335,22.31,2.5
660,31.0,90.0,0.0,0.0,35.88,26.5,2.0
690,30.0,91.0,0.0,0.0,37.72,30.77,5.0
750,29.0,84.0,0.0,0.0,40.52,30.1,3.0
780,28.0,84.0,0.0,0.0,40.52,30.1,3.0
790,17.5,91.0,0.0,0.0,30.26,24.445,2.0
800,5.0,91.0,0.0,0.0,22.79,18.12,1.0
840,5.0,91.0,0.0,0.0,22.79,18.12,1.0
850,27.0,84.0,0.0,0.0,40.52,30.1,3.0
870,26.0,84.0,0.0,0.0,40.52,30.1,3.0
880,17.0,87.0,0.0,0.0,35.88,26.5,1.0
910,33.0,91.0,0.0,0.0,37.73,30.78,3.0
930,18.0,88.5,0.0,0.0,31.655,24.11,2.0
1040,27.0,86.0,0.0,0.0,40.52,30.1,2.0
1050,29.0,86.0,0.0,0.0,40.52,30.1,2.0
1070,25.3333,90.3333,0.0,0.0,33.68,26.3367,2.0
1230,5.0,91.0,0.0,0.0,22.79,18.13,1.0
1250,38.0,92.0,0.0,0.0,39.13,30.44,3.0
1300,5.0,91.0,0.0,0.0,22.79,18.13,1.0
1380,28.0,91.0,0.0,0.0,36.815,28.645,3.5
1390,30.5,91.0,0.0,0.0,36.82,28.645,3.5
1410,30.0,93.0,0.0,0.0,37.74,30.78,4.0
1460,27.0,90.0,0.0,0.0,40.53,30.11,3.0
1470,4.0,91.0,0.0,0.0,22.8,18.13,1.0
1480,27.5,92.0,0.0,0.0,36.82,28.645,4.0
1490,16.0,92.0,0.0,0.0,30.27,24.455,3.5
1510,26.0,90.0,0.0,0.0,35.9,26.51,1.0
1520,18.0,90.0,0.0,0.0,31.665,24.12,1.5
1550,25.0,91.0,0.0,0.0,35.9,26.51,1.0
1580,5.0,91.0,0.0,0.0,22.8,18.13,1.0
1610,25.0,92.0,0.0,0.0,35.9,26.51,1.0
1620,5.0,91.0,0.0,0.0,22.8,18.13,1.0
1650,18.5,91.5,0.0,0.0,29.35,22.32,1.0
1670,27.0,91.0,0.0,0.0,35.9,26.51,1.0
1690,5.0,91.0,0.0,0.0,22.8,18.13,1.0
1740,28.5,91.0,0.0,0.0,39.14,30.45,3.5
1750,27.0,91.0,0.0,0.0,35.9,26.51,2.0
1780,5.0,91.0,0.0,0.0,22.8,18.13,1.0
1790,31.0,89.0,0.0,0.0,40.54,30.11,3.0
1800,32.0,91.0,0.0,0.0,35.9,26.51,2.0
1820,32.0,88.0,0.0,0.0,40.54,30.11,2.0
1840,28.0,90.0,0.0,0.0,35.9,26.51,2.0
1850,31.5,90.5,0.0,0.0,39.14,30.45,2.0
1860,30.0,87.0,0.0,0.0,40.54,30.11,4.0
1900,27.0,89.0,0.0,0.0,35.9,26.51,4.0
1910,4.0,91.0,0.0,0.0,22.8,18.13,1.0
